@DedynurPalakka @jokowi ditangan prabowo gibran jd kembali 0,POSITIF
@Gerindra @prabowo Jago tua mau dibanggakan to pak.ttg HAM jg dibantai p.ganjar ttg demokrasi dihabisi p.anis.emangnya udah yakin menang hingga gk mau belajar memahami konteks debat,NEGATIF
"@ch_chotimah2 @prabowo @gibran_tweet Hahaha klo kagum2 aja ngomong etika, etika nya dmn klo di hadapan publik blg klo ga akan nyalon pak Prabowo nyalon hahaha ngomong suka boong aja di kagumi.....apalagi Ganjar....debat juga no 3 lagi...",POSITIF
@Berty69968038 @ajengcute16__ Saya 2014 dukung Joko 2019 pilih Prabowo. Akhirnya keduanya menyatu. 2024 gak bakalan pilih keduanya atau partai pendukungnya. 2024 pilih AMIN aja. #AniesMuhaimin2024 #AMINAjaDulu #SATUkanIndonesia,NEGATIF
"@kiki_daliyo Karakter bisa di ubah namun watak udh mendarah daging yang ga bisa di ubah, makanya keliatan asli nya Prabowo bukan Jokowi",NEGATIF
"@geloraco Prabowo mah orangnya emang gemoy, lutu, imut kl didepan publik suka menghibur dengan joged2. Calon pemimpin 2024",POSITIF
@tvOneNews Jangan ragukan kuda hitam kami ini. Beliau sangat gagah dan tulus untuk rakyatnya. Sama hal nya dengan pak Prabowo. Slalu rakyat yg nomor 1,POSITIF
Proyek prabowo gagaltotal malah ngrusak alam Indonesia duitnya triliunan amblas tp blm diusut nunggu next rezim,NEGATIF
@NayDonuts @prabowo @gibran_tweet Betul Pak Tua. Biar rakyat yg menentukan! https://t.co/UECjGCozq6,POSITIF
"@fadlizon @prabowo @Gerindra rasa tanggung jawab beliau itu loh, sudah setinggi gunung everest",POSITIF
@ainunnajib @aniesbaswedan @prabowo @ganjarpranowo @cakimiNOW @gibran_tweet @mohmahfudmd Pak Prabowo dimana ya..?,POSITIF
@Lisaamartatara6 @prabowo Mau menyelamatkan muka prabowo... Sampai segitunya presiden 🤔🤔🤔,POSITIF
"@soeyoto1 Inti pak Prabowo bicara 'Ndasmu' itu kan untuk merespon(mengejek) salah satu pertanyaan dari capres waktu debat, yahh sangat di sayangkan lah perkataan itu seolah-olah pimpinan mengajarkan kepada kader/bawahan tidak penting soal etikkkkkk",NEGATIF
@kiki_daliyo Emang dari sebelah mana sihh dia bisa mirip sama pak pres karena sudah jelas Prabowo bukan Jokowi,NEGATIF
Goblok mana lagi yang @prabowo @Dahnilanzar @Fahrihamzah @fadlizon @SBYudhoyono @AgusYudhoyono @Yusrilihza_Mhd dustakan?!,NEGATIF
@geloraco Apa salahnya pak anis.... Ys salah sepatutnya prabowo yg melanggar kode etik seharusnya kpu menggugurkannya  dari pencapresan,NEGATIF
"@jokowi Bikin kagum, Pak Prabowo dan Gibran selalu on point!",POSITIF
@ekokuntadhi1 Fixs ga akan milih prabowo nanti ujung ujungnya rakyat yang di peras pajak dll semua naik lagi gila gila,NEGATIF
@democrazymedia Dahlah ga usah dipaksain.... ikutin aja mau2nya dia apa biar rakyat yang menentukan asal jangan pakai rekayasa survei dan rekapitulasi situng ya prabowo gibran gada yang doyan kecuali yang cari makan jabatan dari jokowi dan antek2nya,NEGATIF
"@Maruahalsiahaa2 @islah_bahrawi @Mang_wa2 Prabowo jga demen bokep bro,hanya malu utk mengakui.",NEGATIF
@beng05948675 @Obay_Kusut1981 @prabowo @Fahrihamzah Hihihi gemoy [gede emosi ye],NEGATIF
