created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 17 23:59:44 +0000 2023;1736536690205061412;"@abahiyanfikri @tvOneNews Mau dipoles sebagaimana pun yang namanya mulut tanpa saringan ya tetap akan begitu cara ngomongnya Prabowo pemarah";0;17;0;6;in;1728388650923327488;1736344392708063246;abiddinabror;https://twitter.com/abiddinabror/status/1736536690205061412
Sun Dec 17 23:59:35 +0000 2023;1736536650615066903;"@DediMulyadi71 @prabowo Prettt";0;0;0;0;en;340619855;1735902218702979341;sk_surdi;https://twitter.com/sk_surdi/status/1736536650615066903
Sun Dec 17 23:59:33 +0000 2023;1736536643052728484;"@inibowoitubukan @Resty_J_Cayah @prabowo @Gerindra @andre_rosiade Kalau udah diDM jangan lupa kirim ke gua oii😅";0;0;0;0;in;947632364003368961;1736402454303105138;KangManto123;https://twitter.com/KangManto123/status/1736536643052728484
Sun Dec 17 23:59:27 +0000 2023;1736536615772901754;"@ZulkifliLubis69 @gibran_tweet @prabowo Kesan saya "Belun siyap"....";0;0;0;0;in;1563890590370365442;1736161044412920317;markabansulqutu;https://twitter.com/markabansulqutu/status/1736536615772901754
Sun Dec 17 23:59:22 +0000 2023;1736536596659437969;"Prabowo, di sisi lain, terkesan enggan mengakui bahwa aturan hukum berlaku untuk semua, termasuk dirinya sendiri @tinghyun05  GanjarMahfud Bijaksana https://t.co/r1tQG0KgP5";0;0;0;0;in;1690995337283162112;1736536596659437969;BudiDioahmadd;https://twitter.com/BudiDioahmadd/status/1736536596659437969
Sun Dec 17 23:59:19 +0000 2023;1736536584785441052;"Proyek prabowo gagaltotal malah ngrusak alam Indonesia duitnya triliunan amblas tp blm diusut nunggu next rezim";0;0;1;3;in;780077959;1736536584785441052;AchmadShonnyArc;https://twitter.com/AchmadShonnyArc/status/1736536584785441052
Sun Dec 17 23:59:15 +0000 2023;1736536568431829095;"@Susilawati79441 @Fahrihamzah Lah bukannya pak @prabowo memang tidak cuti?";0;1;0;0;in;604333557;1736435201096724747;rektrektrekt123;https://twitter.com/rektrektrekt123/status/1736536568431829095
Sun Dec 17 23:59:13 +0000 2023;1736536558747165091;"@OposisiCerdas Gerindra dapat suara besar di 2019 krna ada masa pendukung Anies yg memilih...yg untung Prabowo lebih besar";0;0;0;0;in;1534883706418057217;1736026577367142695;Kakoya69;https://twitter.com/Kakoya69/status/1736536558747165091
Sun Dec 17 23:59:09 +0000 2023;1736536539902148996;"@dikrizal @prabowo Artinya jabatan itu "lumayan penting" untuk Prabowo. Jadi Fix bohong ya kalau dia bilang ga butuh jabatan. Justru dia berjuang dgn berbagai macam cara.";0;1;0;0;in;1235210306940325888;1736535360140976220;Aisyana_dia;https://twitter.com/Aisyana_dia/status/1736536539902148996
Sun Dec 17 23:59:01 +0000 2023;1736536508742656343;"@kiki_daliyo Prabowo bukan Jokowi yg dijadikan boneka";0;0;0;0;in;1640374983418593280;1736277996745679166;CaidaZidan;https://twitter.com/CaidaZidan/status/1736536508742656343
