"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1782290202855432240","Mon Apr 22 06:07:52 +0000 2024","0","@sudirmansaid @aniesbaswedan @msaid_didu khalifah yg kejam @ReflyHZ https://t.co/rMSN23YS1G","1782290202855432240","","sudirmansaid","in","","0","0","0","https://twitter.com/Martogog23/status/1782290202855432240","1617478556086599685","Martogog23"
"1782275431951200386","Mon Apr 22 06:07:05 +0000 2024","0","@Ruroun1Kingtuk @aniesbaswedan @cakimiNOW Sadar diri dong. Sana nyapres di Yaman. Jgn kmbli ke Indonesia kami gk suka sama penjual agama. https://t.co/Dw4Ocoa4ef","1782290005228232849","https://pbs.twimg.com/media/GLv3T0KasAAuah6.jpg","Ruroun1Kingtuk","in","","0","0","0","https://twitter.com/BukanSarjana23/status/1782290005228232849","1762668736778276865","BukanSarjana23"
"1782289968192499821","Mon Apr 22 06:06:56 +0000 2024","6","Anies Baswedan dan Cak Imin menitipkan pesan kepercayaan kepada Majelis Hakim MK untuk menentukan arah bangsa ke depan. https://t.co/fNdDNRd2Wg","1782289968192499821","https://pbs.twimg.com/ext_tw_video_thumb/1782289500481388544/pu/img/Z7chZd8M5rTIckbF.jpg","","in","Jawa Barat, Indonesia","0","0","0","https://twitter.com/Muhammad_Saewad/status/1782289968192499821","817600858565197825","Muhammad_Saewad"
"1782023797580935504","Mon Apr 22 06:06:34 +0000 2024","0","@aniesbaswedan @feryfarhati Maşallah","1782289876508971251","","aniesbaswedan","tr","","0","0","0","https://twitter.com/M_Ali_unsal/status/1782289876508971251","2698229999","M_Ali_unsal"
"1782289860264616077","Mon Apr 22 06:06:30 +0000 2024","0","Sejumlah gugatan dari kubu Anies Baswedan-Muhaimin Iskandar ditolak Hakim MK! https://t.co/xU2JDFDEIO #HardNews_BreakingNews #CariBeritaditvOne #tvOne #Politik #SidangMK #PutusanMK #SidangPHPU #KamiKabarkanAndaPutuskan #SidangPutusanSengketaPilpres2024","1782289860264616077","","","in","Pulo Gadung, Indonesia","0","0","0","https://twitter.com/tvOneNews/status/1782289860264616077","55507370","tvOneNews"
"1781314694462202009","Mon Apr 22 06:06:17 +0000 2024","0","@meigukk @DrEvaChaniago @aniesbaswedan Maksud nya uni proses otomatis ke pbi ketika tdk bisa bayar iuran tanpa harus ngurus2 ke kantor bpjs ini yg sy alami","1782289806934016074","","meigukk","in","","0","0","0","https://twitter.com/jam_s82/status/1782289806934016074","1608356023156502528","jam_s82"
"1782270671915237786","Mon Apr 22 06:06:08 +0000 2024","0","@MhdHida70558206 @geloraco @aniesbaswedan remex wz... indonesia cEmas....","1782289766505152977","","MhdHida70558206","in","","0","0","0","https://twitter.com/CoexCrue88496/status/1782289766505152977","1635696972740059136","CoexCrue88496"
"1782289735932928423","Mon Apr 22 06:06:01 +0000 2024","0","Lagian @aniesbaswedan @ganjarpranowo terlalu naif. Sumber masalah di @officialMKRI Malah mencari keadilan disana juga. Negara ini dikuasai para komplotan bandit double minority pribumi penghianat Islam munafikun &amp; tentu saja asing Barat &amp; aseng TIONGKOK ","1782289735932928423","","","in","","0","0","0","https://twitter.com/Mrs_SSHY/status/1782289735932928423","1562778504038862853","Mrs_SSHY"
"1782023797580935504","Mon Apr 22 06:05:46 +0000 2024","0","@aniesbaswedan @feryfarhati Pak saya liat ini kok jadi haru sekali anak aku juga semalem cerita sepatu futsalnya udah nganga bagian beli lagi insya Allah ada rizkinya tapi bagian ditemenin papahnya yang anak-anak aku udah gak bisa lagi.","1782289674276606094","","aniesbaswedan","in","","0","0","0","https://twitter.com/chezaulia/status/1782289674276606094","70576793","chezaulia"
"1782023797580935504","Mon Apr 22 06:05:36 +0000 2024","0","@aniesbaswedan @feryfarhati semoga akan lahir Anies - Anies di Indonesia yg bisa mencerdaskan bangsa Indonesia","1782289632144859500","","aniesbaswedan","in","","0","0","0","https://twitter.com/17Mardiyansyah/status/1782289632144859500","1572549740826398720","17Mardiyansyah"
"1781897942804447592","Mon Apr 22 06:05:34 +0000 2024","0","@EL_Mascotte @aniesbaswedan @ganjarpranowo @Alie_Fahnoor @anni_noni @are_inismyname @bengkeldodo @Boediantar4 @BANGSAygSUJUD @Chavesz08 @romoatheist @JordanMihaf @Dennysiregar7 Jangan suka mancing macing anak abah","1782289624389537892","","EL_Mascotte","in","","0","0","0","https://twitter.com/DsSukandi/status/1782289624389537892","2819227266","DsSukandi"
"1782023797580935504","Mon Apr 22 06:05:28 +0000 2024","0","@aniesbaswedan @feryfarhati Barakallah fii umrik wa hayatik wa ziyadatan fil ilmi wa barakatan firrizqi.","1782289599727124945","","aniesbaswedan","in","","0","0","0","https://twitter.com/Jaskascha/status/1782289599727124945","584754491","Jaskascha"
"1782289164920336827","Mon Apr 22 06:03:44 +0000 2024","0","Gw bangga berjalan bersama @aniesbaswedan dan @cakimiNOW sebagai capres dan cawapres apapun keputusan MK tak akan mengubah rasa bangga dan bahagia berjalan di barisan mereka","1782289164920336827","","","in","","0","0","0","https://twitter.com/NPlangaplongo/status/1782289164920336827","1191146621926400000","NPlangaplongo"
"1782243096337740155","Mon Apr 22 06:02:52 +0000 2024","0","@andreasmarbun @cakimiNOW @aniesbaswedan Sehat terus para panutan","1782288945507680282","","andreasmarbun","in","","0","0","0","https://twitter.com/mr_magadir/status/1782288945507680282","49312938","mr_magadir"
"1782023797580935504","Mon Apr 22 06:01:58 +0000 2024","0","@aniesbaswedan @feryfarhati Kalo udah gede jgn kyk bapak lo ya ma'il.","1782288720642949137","","aniesbaswedan","in","","0","0","0","https://twitter.com/TK_crowned69/status/1782288720642949137","1248735693641142277","TK_crowned69"
